Code,German idioms,Literal translation,Meaning,Ambiguity,Valence M,Valence SD,Arousal M,Arousal SD,Familiar M,Familiar SD,Transparency M,Transparency SD,Figurative M,Figurative SD,Concreteness M,Concreteness SD,Knowledge of the idiomatic meaning ,Confidence M,Confidence SD,Length in letters,Length in words
240,seine Nase in etwas stecken,to tuck/insert one's nose into something,to barge in; to get oneself involved in issues regarding others,A,-0.97,0.98,3.65,1.62,5.07,1.46,4.31,2.12,4.69,1.69,4.55,2.32,89,6.44,1.11,23,5
241,auf die Pauke hauen,to beat the kettledrum,to party a lot; to show off; to express one's opinion loudly,A,0.55,1.03,4.30,1.64,4.72,1.89,3.81,2.21,4.65,1.96,4.21,2.33,80,4.96,2.18,16,4
242,alles auf den Kopf stellen,to place/put everything on the head,to move/turn over everything (in order to find something),A,-1.07,0.91,4.35,1.64,5.37,1.40,4.41,1.83,4.65,1.72,3.32,2.12,92,6.24,1.16,22,5
243,jemandem einen Bären aufbinden,to bind a bear on someone,to tell someone an invented/unreal story,U,-1.45,0.77,3.80,1.73,4.11,1.74,2.33,2.12,5.78,1.74,3.00,1.97,97,6.53,0.84,27,4
244,jmdn auf dem Laufenden halten,to hold someone on the running,to keep someone updated,U,0.77,0.88,2.48,1.46,6.21,1.15,3.56,2.11,4.23,1.56,2.52,1.84,100,5.96,1.81,25,5
245,alles unter einen Hut bringen,to bring everything under the hat,to combine many things together easily; to bring many things in agreement; to make different things consistent?,A,1.23,1.09,2.94,1.71,5.59,1.27,4.13,2.20,4.84,1.93,2.66,1.99,62,5.97,1.66,25,5
246,schlechte Karten haben,to have bad cards,to have no chance for success,A,-1.58,0.76,3.42,1.57,5.66,1.34,5.50,1.85,4.34,1.72,3.03,2.28,83,5.13,1.78,20,3
247,sich den Kopf über etwas zerbrechen,to break one's head over something,to think about something (an issue) strainingly and continuously,U,-0.81,1.22,3.84,1.75,6.07,1.13,4.52,2.08,5.13,1.61,2.86,1.90,100,6.63,0.67,30,6
248,mit seinem Latein am Ende sein,to be at the end of one's Latin,to not be able to find the solution to a problem,A,-1.72,0.73,3.90,1.81,5.23,1.57,3.19,2.18,5.19,1.51,1.69,1.23,100,5.54,1.88,25,6
249,eine lange Leitung haben,to have a long cord,to not be good at something; to understand something very slowly,A,-1.60,0.77,3.13,1.61,5.43,1.50,4.00,2.20,5.34,1.36,2.24,1.86,89,5.89,1.52,21,4
250,sich auf seinen Lorbeeren ausruhen,to rest on one's bay,to no longer strain oneself after a big achievement/success,A,-0.77,1.02,3.26,1.93,4.45,1.92,3.35,2.24,5.31,1.64,2.93,2.16,93,6.77,0.57,30,5
251,in der Luft hängen,to hang in the air,to be unsure; to not know how it will continue,A,-1.13,0.94,3.65,1.91,5.10,1.72,3.77,1.93,5.00,1.59,3.29,1.90,86,6.38,1.35,15,4
252,viel um die Ohren haben,to have a lot around one's ears,"to be very busy, to have a lot of things to do",A,-0.77,0.72,3.42,1.61,6.00,1.25,3.68,2.27,4.88,1.76,2.80,2.06,97,6.00,1.59,19,5
253,die Ohren spitzen,to sharpen the ears,to listen carefully; to be very attentive,U,0.81,0.95,2.97,1.70,5.14,1.60,4.13,2.23,4.58,1.78,4.65,1.94,96,5.71,1.90,15,3
254,etwas auf der Pfanne haben,to have something on the pan,to be able to perform something special; to have great skills; to have something secretly planned,A,1.40,1.08,3.29,1.70,3.60,1.73,2.58,2.20,4.93,1.92,2.43,2.03,78,6.66,0.97,22,5
255,zäh wie Leder sein,to be as tough as leather,"to be able to endure a lot - emotionally, physically and/or mentally",U,0.90,1.25,3.84,1.83,3.90,1.80,5.91,1.63,3.81,1.72,4.00,2.32,62,6.11,1.52,15,4
256,Trübsal blasen,to blow misery,"to be sad, disappointed or miserable",U,-1.26,0.73,3.65,1.74,5.00,1.83,3.74,2.27,5.10,1.68,2.93,2.27,97,5.79,1.77,13,2
257,außer sich sein,to be outside oneself,"to be enraged, angry, furious; to be very upset by a situation",U,-1.42,1.09,4.84,1.68,5.73,1.39,3.55,2.28,4.59,1.66,2.97,2.11,96,5.21,2.13,13,3
258,etwas durch die Blume sagen,to say something through the flower,to carefully critique someone in a pleasant way; to tell someone the truth carefully; to indirectly tell the truth,U,0.45,0.93,3.27,1.82,4.33,1.71,2.87,2.11,4.66,1.52,3.35,2.03,100,6.61,0.80,23,5
259,gefeuert werden,to get fired,to lose one's job,U,-2.26,0.89,4.77,1.67,5.62,1.88,3.26,2.44,4.75,1.74,2.90,2.17,96,5.69,2.09,14,2
260,das Weite suchen,to search for vastness/largeness,to leave from somewhere unpleasant,U,-0.74,0.96,3.42,2.14,5.03,1.90,4.63,2.09,3.97,1.60,3.29,2.18,100,6.32,1.08,14,3
261,für lau arbeiten,to work lukewarmy,to work for free; to work without or extremely little payment,U,-1.32,1.05,2.84,1.81,4.86,1.92,2.94,2.31,4.47,1.68,2.29,1.94,87,6.37,1.56,14,3
262,etwas in Worte kleiden,to dress something in words,to express something figuratively; to describe something in words,U,0.32,0.91,2.31,1.37,3.32,1.83,4.28,2.22,4.53,1.52,3.17,1.98,92,6.00,1.66,19,4
263,total blank sein,to be totally blank/bare,to have no money at all ,U,-2.23,0.92,3.97,2.01,5.10,1.92,3.06,2.42,4.38,1.83,2.00,1.71,100,5.73,1.76,14,3
264,vor Neid platzen,to burst of envy,to be extremely envious of someone,U,-2.03,0.95,4.94,1.57,5.37,1.56,5.22,1.93,4.97,1.77,3.40,2.08,100,5.48,2.02,14,3
265,vor Wut schäumen,to foam of rage,to be very furious,U,-2.06,0.89,5.37,1.73,5.24,1.66,4.87,2.00,5.13,1.71,3.90,2.11,100,4.68,2.37,14,3
266,Bauklötze staunen,to marvel toy blocks,to be extremely amazed; to be very surprised,U,0.57,1.14,3.87,1.98,4.27,1.96,3.13,2.42,5.77,1.57,2.55,1.93,93,5.74,1.56,16,2
267,die Fliege machen,to make the fly,to leave (not necessarily in a negative sense),U,-0.58,0.81,3.07,1.66,5.03,1.66,2.74,2.16,5.32,1.83,2.61,1.80,100,5.97,1.71,15,3
268,einen Knall haben,to have a crack,to be crazy,U,-1.61,0.88,4.13,1.84,5.59,1.64,2.97,2.37,4.81,1.73,2.14,1.87,100,5.43,1.72,15,3
269,im Geld schwimmen,to swim in money,to have a lot of money,U,1.61,1.38,3.20,1.92,4.93,1.69,5.72,1.46,4.65,1.54,4.00,2.33,100,6.23,1.11,15,3
270,nach Geld stinken,to stink of money,to be extremely rich,U,-0.77,1.92,3.65,2.03,4.39,2.30,4.35,2.21,5.03,1.53,3.77,2.34,89,5.69,2.04,15,3
271,sein Wort brechen,to break one's word,to break one's promise; to be unable to hold one's promise,U,-2.10,0.87,4.06,1.81,5.07,1.68,4.23,2.16,4.22,1.68,2.76,2.28,96,6.39,1.31,15,3
272,das Wort ergreifen,to seize the word,to intervene by saying one's own opinion; to seize the opportunity to say something ,U,0.81,0.79,2.77,1.76,5.66,1.49,5.17,1.95,4.16,1.67,4.13,2.55,97,6.25,1.19,16,3
273,den Kopf verlieren,to lose one's head,"to get nervous, panic and react in an imprudent way",U,-1.74,0.77,4.23,1.82,4.70,1.86,4.29,2.00,4.90,1.68,3.23,2.34,73,6.21,1.37,16,3
274,durchgeknallt sein,to be banged through,to be totally crazy,U,-1.23,1.09,4.37,1.69,5.87,1.50,3.09,2.19,4.66,1.82,2.23,1.83,100,5.11,2.04,17,2
275,eine ehrliche Haut sein,to be an honest skin,to be a very honest person,U,2.03,0.87,3.26,1.83,4.63,1.77,4.38,2.06,4.52,1.98,2.28,1.77,96,6.80,0.41,20,4
276,Flöhe husten hören,to hear fleas cough,one experiences things that do not necessarily exist; to hear well; to be the first person informed about news; to be cautious/sensible/fragile; to ponder over problems before they exist,U,-0.58,0.95,2.74,1.67,3.13,1.62,4.13,2.14,5.33,1.81,4.10,2.34,56,6.76,0.51,16,3
277,jemanden aufziehen,to wind someone up,to tease someone,U,-0.87,0.82,3.40,1.69,5.43,1.64,2.94,2.08,5.16,1.83,2.45,1.84,100,6.35,1.11,17,2
278,jemanden versetzen,to displace someone,not to show up on an agreed meeting/date,U,-1.35,0.88,3.68,2.04,5.62,1.45,3.25,2.21,3.78,1.83,2.90,2.02,100,5.36,1.78,17,2
279,seiner Zeit voraus sein,to be ahead of one's time,to be more mature/advanced than people of one's own time; not to be acknowledged by one's own society,U,1.68,0.91,2.83,1.88,5.03,1.81,4.84,1.92,3.81,1.53,2.43,1.94,89,6.37,0.96,20,4
280,sich den Tod holen,to catch death,to do something imprudent that could lead to an illness,U,-2.34,0.79,4.81,1.64,5.20,1.81,5.10,1.75,4.72,1.55,2.57,1.96,100,6.07,1.41,15,4
281,aus der Haut fahren,to drive out of one's skin,to become furious and aggressive,U,-1.81,0.70,5.23,1.48,5.21,1.50,3.88,2.20,5.47,1.61,3.03,2.01,97,5.72,1.81,16,4
282,den Laden schmeißen,to throw the shop,to manage a place (work or home) really well,U,1.48,0.81,3.55,1.93,5.14,1.51,2.97,2.34,4.97,1.62,2.59,1.84,96,6.13,1.36,17,3
283,die Fresse polieren,to polish someone's mouth,to beat someone up,U,-2.58,0.62,5.39,1.80,5.50,1.59,3.50,2.08,4.84,1.37,4.96,2.03,100,4.00,2.47,17,3
284,die Wände hochgehen,to walk up walls,to become really angry,U,-1.55,0.93,5.29,1.66,5.43,1.50,3.25,1.88,4.75,1.72,3.58,2.23,97,5.50,2.01,17,3
285,ein Geizkragen sein,to be a tightward,to be very stingy; not to be very generous,U,-2.00,0.82,3.71,1.83,5.03,1.85,4.53,2.24,4.16,1.89,2.39,1.82,97,6.03,1.36,17,3
286,in aller Munde sein,to be in everyone's mouth,to be talked about by everyone; an issue that everyone talks about,U,0.68,1.11,3.52,1.90,5.07,1.73,4.87,1.73,4.16,1.80,3.55,2.38,96,6.75,0.44,16,4
287,lange Finger machen,to make long fingers,to steal,U,-1.63,0.85,3.34,1.76,4.32,1.91,3.20,2.30,5.06,1.54,3.07,1.96,100,6.38,1.27,17,3
288,nach Verrat riechen,to smell of treason,something is considered treason; to be considered treason,U,-2.13,0.85,4.06,1.53,3.89,1.75,4.71,2.00,4.29,1.72,4.16,2.34,76,6.07,1.36,17,3
289,seine Worte abwägen,to weigh one's words,to think about something carefully before speaking,U,0.63,0.81,2.68,1.40,4.67,1.84,5.10,1.88,3.16,1.80,2.94,2.02,86,5.87,1.41,17,3
290,sich schwarz ärgern,to blacken of anger,to get extremely angry,U,-2.00,0.77,5.42,1.50,4.90,1.95,3.77,2.28,4.84,1.87,3.11,2.01,100,6.30,1.56,17,3
291,Stroh im Kopf haben,to have straw in the head,to be a stupid/dull person,U,-2.03,0.75,2.94,1.57,4.45,1.88,4.78,2.09,4.66,1.66,2.71,1.92,100,6.15,1.41,16,4
292,vor Freude strahlen,to beam of joy,to be extremely happy; to lighten up because of a positive occurance,U,2.67,0.48,5.00,1.69,5.83,1.56,6.16,1.30,3.50,1.55,4.37,2.39,100,5.64,1.81,17,3
293,wie ein Loch saufen,to drink like a hole,to drink an excessive amount,U,-2.32,0.83,3.77,1.81,4.67,2.06,4.68,2.24,4.47,1.78,3.57,2.28,100,5.21,2.27,16,4
294,bei jemandem anecken,to corner at someone,to attract negative attention; to stand out negatively; to offend/scandalise someone,U,-1.16,0.58,3.83,1.56,4.45,1.96,3.80,2.11,4.53,1.76,3.39,2.30,97,6.59,0.73,18,3
295,die Nerven verlieren,to lose one's nerves,to lose one's head/nerves; to be very nervous,U,-1.88,0.79,4.71,1.64,5.60,1.52,4.55,1.93,3.81,1.67,3.10,2.24,97,5.15,2.22,18,3
296,die Zeit totschlagen,to kill time,to do something so that time goes by faster,U,-0.68,1.17,3.03,1.99,5.90,1.59,4.23,2.19,5.19,1.75,2.48,2.01,90,6.59,0.87,18,3
297,ein Erbsenhirn haben,to have a pea brain,to be stupid,U,-2.23,0.72,3.81,1.94,3.64,2.04,4.90,1.93,4.42,1.95,2.97,2.30,100,6.36,1.25,18,3
298,eine Augenweide sein,to be an eye meadow,to be very beautiful ,U,2.13,1.20,3.70,2.10,5.31,1.58,4.22,2.04,4.41,1.85,3.25,2.07,100,6.69,0.71,18,3
299,Geld ohne Ende haben,to have money without end,to have a lot of money,U,1.77,1.31,3.19,1.85,4.69,1.87,6.06,1.77,3.42,1.75,2.71,2.27,96,6.69,0.54,17,4
300,sich ein Herz fassen,to seize one's heart,to overcome one's fear and be brave; to decide to finally do something,U,1.34,0.90,4.29,1.77,5.33,1.60,3.60,2.09,4.84,1.78,2.93,2.26,96,6.54,0.96,17,4
301,tausend Tode sterben,to die thousand deaths,"to have extreme fear; to be very scared (mostly for someone else; e.g., when mothers worries about their children); if something very embarrassing happened",U,-2.39,0.95,5.68,1.81,4.68,2.04,5.00,1.82,5.16,1.83,2.00,1.41,69,6.29,1.19,18,3
302,Überstunden schieben,to push overtime,to work overtime,U,-1.26,1.00,2.77,1.76,5.25,1.80,4.00,2.07,3.75,1.46,3.03,2.15,100,5.34,2.06,19,2
303,von der Stütze leben,to live from support,to get subsidies to survive,U,-1.81,0.90,3.50,1.94,4.59,1.96,4.00,2.24,4.31,1.65,2.45,1.62,96,5.34,1.95,17,4
304,vor Faulheit stinken,to stink of slothfulness,to be very lazy,U,-2.26,0.82,4.29,1.79,3.64,2.06,4.66,2.12,4.63,1.67,4.10,2.28,100,6.38,1.18,18,3
305,auf den Punkt  kommen,to come to the point,to finally reach the actual point one was trying to make,U,0.97,0.95,3.03,1.89,5.53,1.78,3.50,2.33,4.72,1.84,2.21,1.59,88,6.71,0.81,17,5
306,ein Ass in etwas sein,to be an ace in something,to be extremely good/talented in something,U,2.29,0.86,3.68,1.87,4.93,1.73,4.69,2.12,5.09,1.77,2.73,2.00,97,6.28,1.44,17,5
307,ein Grünschnabel sein,to be a green pecker,to be inexperienced and a beginner in something,U,-1.00,0.77,2.97,1.75,4.04,2.05,2.34,1.96,5.61,1.58,2.17,1.72,97,5.57,1.79,19,3
308,ein Hundeleben führen,to lead a dog's life,to lead a very miserable life,U,-2.00,0.87,4.00,2.00,4.07,1.76,3.72,2.02,4.88,1.48,2.29,1.44,79,6.63,0.69,19,3
309,ein Jammerlappen sein,to be a moaning cloth,to moan about everything,U,-1.97,0.71,3.50,1.76,5.03,1.85,4.23,2.35,4.66,1.64,2.29,1.90,86,6.34,1.17,19,3
310,ein Nervenbündel sein,to be a nerve bundle,to be extremely nervous/anxious,U,-1.71,0.94,3.90,1.56,4.59,1.86,4.10,2.48,4.00,1.75,3.10,2.31,97,5.80,1.65,19,3
311,ein Stubenhocker sein,to be a living room roucher,to be a couch potato/to be always at home,U,-1.16,0.73,2.87,1.69,5.55,1.92,5.50,1.92,3.68,1.99,3.58,2.35,93,6.21,1.18,19,3
312,Feuer und Flamme sein,to be fire and flame,to be very excited about something,U,2.03,0.81,5.07,1.36,5.24,1.96,3.55,2.23,5.13,1.79,2.97,2.14,100,6.07,1.51,18,4
313,fit wie ein Turnschuh sein,to be fit like a gym shoe,to be very athletic and work out a lot,U,2.29,0.94,3.71,1.87,5.80,1.13,4.77,1.96,4.69,1.91,3.23,1.82,100,6.58,0.89,22,5
315,jemandes Herz erobern,to conquer someone's heart,to chase someone and fall make him/her fall in love,U,2.03,0.91,5.10,1.85,5.30,1.64,5.38,1.60,4.75,1.90,2.47,2.05,100,6.13,1.36,19,3
316,Muffensausen bekommen,to get jimjams,to get scared of something,U,-1.41,0.76,4.19,1.66,4.50,2.08,2.44,2.15,5.72,1.67,2.13,1.61,100,6.52,1.02,20,2
317,es kostet nicht die Welt,it does not cost the world,something is not very expensive; something easily achievable ,U,1.00,1.03,2.77,1.93,5.28,1.41,4.97,1.87,4.19,1.69,2.00,1.51,100,6.37,0.79,20,5
318,sein Herz erleichtern,to ease one's heart,to say/do something that one has always wanted to say/do,U,1.41,1.02,4.48,1.63,4.83,1.67,4.74,1.95,4.23,1.82,3.31,2.32,96,6.31,1.19,19,3
319,sein Leben aushauchen,to exhale one's life,to die; to take one's last breath,U,-2.07,1.08,4.90,2.07,3.76,1.98,5.38,1.70,4.41,1.76,3.93,2.28,84,6.33,1.03,19,3
320,über den Jordan gehen,to go across the Jordan river,to die,U,-1.63,1.30,4.14,1.88,3.97,1.80,2.13,1.93,5.57,1.85,2.90,1.90,81,6.37,1.25,18,4
321,aus vollem Hals lachen,to laugh out of your full throat,to laugh heartily ,U,1.68,1.22,5.00,1.63,4.75,1.65,5.03,1.86,3.78,1.64,5.00,2.08,100,6.08,1.53,19,4
322,bei jemandem abblitzen,to get rebuffed,to get rejected by someone you were romantically interested in,U,-1.52,0.72,4.13,1.57,5.00,1.83,3.87,2.22,5.31,1.55,2.60,1.71,93,6.42,0.99,20,3
323,das Gras wachsen hören,to hear the grass grow,one interprets/believes things that do not necessarily exist; to hear well,U,-0.50,1.04,3.31,1.77,3.93,1.78,3.83,2.09,5.24,1.68,3.97,2.36,63,6.19,1.49,19,4
325,ein Arschkriecher sein,to be an ass crawler,to be a kiss ass; to flatter someone excessively,U,-2.48,0.72,4.38,1.88,5.72,1.60,3.60,2.39,4.97,1.91,2.48,2.05,96,6.38,1.27,20,3
326,eine Gänsehaut kriegen,to get a goose skin,to be scarred/afraid; to be cold; to be touched (when you hear something really great fantastic); to be horrified by something,U,-0.25,1.22,4.61,1.87,6.03,1.45,5.07,2.08,3.56,1.72,5.81,1.99,97,4.11,2.71,20,3
327,etwas unverblümt sagen,to say something unflowery,say something very directly and bluntly; not to be very allusive ,U,0.19,1.09,3.87,2.08,4.73,1.87,3.40,2.47,4.22,1.56,3.26,2.00,97,6.38,1.01,20,3
328,Gift und Galle spucken,to spit poison and bile ,get very angry and spiteful,U,-2.16,0.78,5.32,1.72,3.72,2.00,4.06,2.16,5.28,1.71,4.07,2.39,96,4.23,2.35,19,4
329,ins Blaue hinein reden,to talk into the blue,to talk without knowing what one is actually wanting to say; to have no idea what one wants to say,U,-0.70,0.72,3.13,1.61,4.00,2.14,2.10,1.68,5.33,1.45,2.87,2.14,65,6.00,1.67,19,4
330,mit Engelszungen reden,to speak with angels' tongues,to try to convince someone of an idea; to talk in a very captivating way; to try to convince someone of something; to talk very nicely to someone,U,0.67,1.27,3.30,1.88,3.69,1.91,4.00,2.14,4.74,1.79,3.32,2.06,70,6.55,0.74,20,3
331,Nerven aus Stahl haben,to have nerves of steel,to be a steady person and resilient to stress,U,1.61,1.41,4.35,1.70,5.07,1.84,5.69,1.73,4.32,1.74,3.10,2.24,97,5.70,1.91,19,4
332,nicht der Hellste sein,not to be the brightest,not to be the most intelligent person,U,-1.71,0.74,3.03,1.82,5.37,1.81,4.06,2.32,4.81,1.60,2.34,1.80,97,5.97,1.82,19,4
333,über die Runden kommen,to come over the rounds,to survive with little money; just about make it with the money one has,U,0.32,1.42,2.81,1.54,5.69,1.61,3.42,2.31,4.83,1.64,1.75,0.97,96,6.27,1.26,19,4
334,voll sein wie ein Loch,to be full like a hole,to be completely drunk,U,-1.94,1.03,3.94,1.98,3.67,1.92,2.93,2.10,4.46,1.55,2.80,2.23,86,6.48,0.96,18,5
335,wie ein Grab schweigen,to be silent like a grave,to keep a secret,U,0.19,1.01,3.71,1.77,5.23,1.85,5.91,1.51,4.41,1.95,3.79,2.50,100,6.04,1.67,19,4
336,zwei linke Hände haben,to have two left hands,to be clumsy,U,-1.55,0.68,3.23,1.86,5.17,1.89,4.90,1.97,4.38,1.76,4.10,2.44,93,6.30,1.32,19,4
337,am Ende der Welt wohnen,to live at the end of the world,to live in a place that is difficult to access; to live far away from the city,U,-0.90,0.83,3.26,1.86,5.03,1.76,5.43,1.85,4.88,1.88,3.32,2.27,97,6.38,0.94,19,5
338,aus allen Wolken fallen,to fall out of all clouds,to be utterly surprised,U,-1.35,0.95,4.87,1.72,5.47,1.61,3.06,2.17,5.22,1.60,2.42,1.73,93,6.50,0.79,20,4
339,Ebbe in der Kasse haben,to have low tide in the till,to have little money left,U,-1.69,1.12,3.58,1.98,4.11,1.77,5.61,1.38,4.68,1.64,2.66,1.76,100,5.70,2.14,19,5
340,eine halbe Portion sein,to be half a portion,to be a skinny/weak person,U,-1.03,1.11,2.81,1.72,4.77,1.76,4.71,1.74,4.38,1.72,2.82,2.09,88,6.29,1.19,20,4
341,Köpfe rollen lassen,to let heads roll,to punish people; to dismiss people,U,-2.29,0.90,5.06,1.82,4.07,1.93,4.03,2.06,5.16,1.80,2.65,1.91,73,6.23,1.19,17,3
342,in Saus und Braus leben,to live in speed and boom,to live it up; to enjoy life to the fullest (often implies spending a lot of money to do so),U,1.00,1.65,4.16,1.83,5.13,1.68,3.20,2.25,4.69,1.71,2.94,1.91,87,4.24,2.63,19,5
343,jemanden mundtot machen,to make someone mouth-dead,to silence someone; to stop someone from revealing information,U,-1.84,0.90,4.60,1.83,4.52,2.06,4.94,1.78,4.31,1.55,3.58,2.25,78,5.56,1.99,21,3
344,jemanden zur Sau machen,to make someone to a pig,to yell at someone; to make someone feel bad about what they have done; to tell someone off,U,-2.00,0.73,4.94,1.53,4.93,1.93,2.97,2.18,5.50,1.68,3.06,2.00,93,5.97,1.82,20,4
345,nur Stroh im Kopf haben,to have hay in the head,to be stupid,U,-2.06,0.81,3.23,1.76,4.28,1.98,5.00,2.18,4.69,1.73,3.00,2.13,97,6.60,0.93,19,5
346,sich zum Teufel scheren,to go to the devil,to leave; to clear off,U,-2.23,0.80,4.65,1.87,4.87,1.81,3.59,2.39,5.19,1.60,1.86,1.36,93,6.55,1.15,20,4
347,am Arsch der Welt wohnen,to live at the ass of the world,to live in a place that is difficult to access; to live far away from the city,U,-1.32,1.30,3.87,2.03,5.77,1.57,4.88,2.04,5.29,1.74,2.59,1.80,100,6.30,1.06,20,5
348,den Flattermann bekommen,to get the flatterman,to get very nervous/excited; to get stage fright,U,-1.34,0.81,3.87,1.94,3.97,2.31,2.53,2.06,5.00,1.76,2.83,1.98,92,6.52,1.18,22,3
349,den Teufel im Leib haben,to have the devil in the body,to be a bad person; to do bad things,U,-2.00,0.80,4.90,1.76,2.67,1.84,4.71,1.79,5.31,1.73,2.37,2.01,55,6.66,1.08,20,5
350,die Seele baumeln lassen,to let the soul dangle,to enjoy life; to be relaxed and have a good time,U,1.78,0.87,3.71,2.13,5.23,1.74,4.06,2.19,5.03,1.73,3.00,2.13,96,6.71,0.69,21,4
351,die Sprache wiederfinden,to find your language again,to regain your speech; be able to speak again,U,0.73,1.01,3.03,1.73,4.03,1.92,4.81,2.06,3.81,1.57,3.68,2.21,87,6.58,0.89,22,3
352,ein Herz aus Stein haben,to have a heart of stone,to be a cold person; to show little or no empathy,U,-2.31,0.74,4.32,1.85,4.07,1.87,5.39,1.75,4.34,1.72,2.48,1.96,94,5.73,2.18,20,5
353,ein loses Mundwerk haben,to have a loose mouth,to speak a lot in an unkind and rudely manner,U,-1.47,0.76,3.61,1.58,4.63,1.63,4.53,2.21,4.13,1.52,3.10,2.09,70,6.58,0.76,21,4
354,eine scharfe Zunge haben,to have a sharp tongue,to respond quickly and often sarcastically or in a funny manner,U,-0.69,1.15,3.81,1.74,3.54,1.82,3.87,2.30,5.22,1.45,3.14,2.17,90,5.77,1.81,21,4
355,es schwer ums Herz haben,to have it heavy around the heart,to have a difficult time with love or a relationship; to have heart ache and suffer,U,-1.40,0.72,4.26,1.67,3.86,1.81,4.53,2.14,4.34,1.77,2.97,2.16,93,5.25,2.19,20,5
356,keine große Leuchte sein,not to be a great light,to be stupid; not to be very fast at understanding complicated matters,U,-1.66,0.79,3.30,1.76,4.70,1.78,4.03,2.24,4.63,1.83,2.37,1.43,97,6.43,1.22,21,4
357,sich den Arsch aufreißen,to rip open one's ass,to put a lot of effort into something,U,-0.90,1.37,5.10,1.60,5.69,1.85,3.55,2.42,5.16,1.88,3.21,2.08,96,6.14,1.21,21,4
358,sich die Augen ausweinen,to cry one's eyes out,to cry a lot,U,-2.00,1.11,5.00,1.59,4.33,1.75,5.91,1.69,3.84,1.65,5.13,2.19,94,6.28,1.22,21,4
359,vom Tode gezeichnet sein,to be painted by death,to be terminally ill; to be close to death,U,-2.52,0.63,5.32,1.76,3.56,1.97,5.00,1.98,4.45,1.86,3.10,2.41,81,6.89,0.32,21,4
360,auf dem Zahnfleisch gehen,to walk on the teethridge,to be exhausted; to be tired; to be ruined (economically/healthwise) ,U,-1.87,0.81,4.84,1.86,4.14,1.99,2.84,2.35,5.84,1.53,3.00,2.24,72,6.59,1.01,22,4
361,auf Wolke sieben schweben,to float on cloud seven,to be in love; to be happy; to be naive,U,2.48,0.93,5.26,1.59,5.24,1.83,3.26,2.11,5.34,1.82,2.84,2.19,97,6.33,1.33,22,4
362,Blut und Wasser schwitzen,to sweat blood and water,to be very nervous; to be anxious; to be exhausted,U,-1.32,1.14,5.13,1.59,4.31,1.85,3.97,2.29,4.97,1.91,4.26,2.24,100,6.63,0.76,22,4
363,ein langes Gesicht machen,to make a long face,to be surprised and disappointed by something,U,-1.16,0.52,3.13,1.54,5.14,1.96,4.07,2.10,3.91,1.67,3.71,2.12,96,5.68,1.73,22,4
364,ein Prinzipienreiter sein,to be a principle rider,to hold on to principles,U,-1.10,0.82,3.13,1.65,3.85,1.94,3.93,1.87,4.26,1.75,2.37,1.81,97,6.12,1.75,23,3
365,eine falsche Schlange sein,to be a fake snake,to be an opportunistic person; to deceive people,U,-2.48,0.68,4.71,1.85,4.62,1.82,4.16,2.07,4.84,1.75,2.26,1.79,100,5.10,2.12,23,4
366,einen schwarzen Tag haben,to have a black day,to have an unlucky day,U,-1.94,0.73,4.42,1.71,4.45,2.10,4.45,2.10,4.63,1.52,2.45,1.91,92,5.89,1.58,22,4
367,Haarspaltereien betreiben,to practice hair splitting,to pay exaggerated attention to detail,U,-1.32,0.79,3.65,1.78,3.97,2.14,3.94,1.87,4.91,1.53,2.97,1.92,93,6.03,1.71,24,2
368,jemandem das Herz brechen,to break someone's heart,to break someone's heart; to disappoint someone,U,-2.16,0.93,5.52,1.52,5.79,1.21,5.22,1.74,5.19,1.76,3.23,2.29,100,6.26,1.32,22,4
369,jemandem platzt der Kragen,someone's collar bursts,to get very angry and let steam off,U,-1.84,1.24,5.10,1.70,5.38,1.54,3.71,2.16,5.26,1.44,3.03,2.07,100,5.94,1.61,23,4
370,jemanden zum Teufel jagen,to hunt someone to the devil,to send someone away; to get rid of someone,U,-1.84,1.39,5.23,1.48,4.70,1.82,4.90,1.90,5.09,1.78,2.86,1.94,74,6.64,0.62,22,4
371,hinter dem Mond leben,to live behind the moon,not to know any news; to be inexperienced and unworldly,U,-1.42,1.06,3.74,1.86,5.07,1.87,4.19,1.99,5.28,1.75,2.48,1.71,90,6.21,1.42,18,4
372,nur Haut und Knochen sein,to be skin and bones,to be very skinny; to be very thin,U,-2.28,0.77,3.71,2.05,5.03,1.75,5.81,1.77,3.34,1.62,4.68,2.24,97,6.52,1.18,21,5
373,sein Herz an etwas hängen,to hang one's heart on something,to attach emotional value to something,U,0.83,1.02,4.55,1.86,4.50,1.90,4.66,1.60,4.38,1.79,2.90,2.12,96,5.85,1.67,21,5
374,sein Herz sprechen lassen,to let one's heart speak,to speak honestly; say what one feels; to let one's feeling decide; to act upon one's feeling,U,1.35,1.11,4.65,1.66,4.03,1.79,4.91,1.84,4.69,1.62,3.16,2.40,63,6.21,1.53,22,4
375,sich die Sporen verdienen,to earn the spurs,to prove one's abilities; to prove one's worth; to master a challenge successfully; to have to work hard to prove one's ability,U,0.52,1.33,2.79,1.42,3.46,1.88,2.90,1.84,4.82,1.49,2.57,2.10,70,6.39,1.17,22,4
376,unsterblich verliebt sein,to be undyingly in love,to be very much in love,U,2.16,1.34,5.53,1.59,5.55,1.59,5.03,1.96,4.41,1.95,2.23,1.89,97,6.07,1.44,23,3
